model,esi_level,precision,recall,f1_score,support
Logistic baseline,1,0.5,0.25,0.3333333333333333,16
Logistic baseline,2,0.7359108781127129,0.6264993026499303,0.6768118125659184,3585
Logistic baseline,3,0.6757634827810266,0.7700851536467975,0.7198477245198132,5402
Logistic baseline,4,0.6219303255282695,0.612141652613828,0.6169971671388101,1779
Logistic baseline,5,0.5,0.11934156378600823,0.19269102990033224,243
Tree baseline,1,0.0,0.0,0.0,16
Tree baseline,2,0.7899716177861873,0.23291492329149233,0.35975872468763465,3585
Tree baseline,3,0.5215690208667737,0.962421325435024,0.6765126870527001,5402
Tree baseline,4,0.0,0.0,0.0,1779
Tree baseline,5,0.0,0.0,0.0,243
Logistic tuned,1,0.23333333333333334,0.4375,0.30434782608695654,16
Logistic tuned,2,0.7348084544253632,0.6206415620641562,0.6729169817027068,3585
Logistic tuned,3,0.6747848676733236,0.7693446871529064,0.718968947322896,5402
Logistic tuned,4,0.6205714285714286,0.6104553119730185,0.6154718050439217,1779
Logistic tuned,5,0.5,0.11934156378600823,0.19269102990033224,243
Tree tuned,1,0.024,0.375,0.045112781954887216,16
Tree tuned,2,0.7149051490514905,0.3679218967921897,0.4858195211786372,3585
Tree tuned,3,0.5996351104804378,0.5475749722325065,0.5724238026124818,5402
Tree tuned,4,0.2969114975343888,0.6430578976953345,0.40625,1779
Tree tuned,5,0.3611111111111111,0.2139917695473251,0.268733850129199,243
