model,settings,accuracy,macro_f1,esi_1_recall,esi_1_precision,predicted_esi_1
Logistic,none,0.6810657596371882,0.4734483109024764,0.08333333333333333,0.5,2
Logistic,ESI 1 x2,0.6811791383219955,0.488575504975061,0.16666666666666666,0.2857142857142857,7
Logistic,ESI 1 x4,0.6807256235827664,0.4948173843953464,0.25,0.25,12
Logistic,ESI 1 x8,0.6802721088435374,0.4959323067016167,0.3333333333333333,0.2,20
Logistic,ESI 1 x12,0.6791383219954649,0.4849201181703132,0.3333333333333333,0.14814814814814814,27
Tree,"depth=5, leaf=1, weight=none",0.5458049886621316,0.20719759075001418,0.0,0.0,0
Tree,"depth=5, leaf=1, weight=balanced",0.2605442176870748,0.18165068233451565,0.5,0.04225352112676056,142
Tree,"depth=5, leaf=5, weight=none",0.5458049886621316,0.20719759075001418,0.0,0.0,0
Tree,"depth=5, leaf=5, weight=balanced",0.2608843537414966,0.184279995560533,0.5833333333333334,0.04895104895104895,143
Tree,"depth=5, leaf=10, weight=none",0.5458049886621316,0.20719759075001418,0.0,0.0,0
Tree,"depth=5, leaf=10, weight=balanced",0.2608843537414966,0.184279995560533,0.5833333333333334,0.04895104895104895,143
Tree,"depth=5, leaf=25, weight=none",0.5459183673469388,0.20752602618833907,0.0,0.0,0
Tree,"depth=5, leaf=25, weight=balanced",0.2608843537414966,0.184279995560533,0.5833333333333334,0.04895104895104895,143
Tree,"depth=8, leaf=1, weight=none",0.5746031746031746,0.24067373369720926,0.0,0.0,0
Tree,"depth=8, leaf=1, weight=balanced",0.30351473922902494,0.1986259658781836,0.3333333333333333,0.043478260869565216,92
Tree,"depth=8, leaf=5, weight=none",0.5743764172335601,0.24049063083368954,0.0,0.0,0
Tree,"depth=8, leaf=5, weight=balanced",0.3036281179138322,0.20158204122829826,0.4166666666666667,0.052083333333333336,96
Tree,"depth=8, leaf=10, weight=none",0.5742630385487528,0.24056463652802007,0.0,0.0,0
Tree,"depth=8, leaf=10, weight=balanced",0.30306122448979594,0.20762213406910215,0.5833333333333334,0.06930693069306931,101
Tree,"depth=8, leaf=25, weight=none",0.5741496598639456,0.24072732700080762,0.0,0.0,0
Tree,"depth=8, leaf=25, weight=balanced",0.29625850340136056,0.1938765781014951,0.5833333333333334,0.03664921465968586,191
Tree,"depth=12, leaf=1, weight=none",0.596031746031746,0.29079876055719905,0.0,0.0,2
Tree,"depth=12, leaf=1, weight=balanced",0.43197278911564624,0.33752964143963937,0.3333333333333333,0.1111111111111111,36
Tree,"depth=12, leaf=5, weight=none",0.5954648526077098,0.29065276790771183,0.0,0.0,0
Tree,"depth=12, leaf=5, weight=balanced",0.4312925170068027,0.33445474626592453,0.4166666666666667,0.09615384615384616,52
Tree,"depth=12, leaf=10, weight=none",0.5964852607709751,0.29128101114879673,0.0,0.0,0
Tree,"depth=12, leaf=10, weight=balanced",0.4770975056689342,0.36679254792554683,0.5833333333333334,0.09859154929577464,71
Tree,"depth=12, leaf=25, weight=none",0.5985260770975057,0.29206100869508034,0.0,0.0,0
Tree,"depth=12, leaf=25, weight=balanced",0.4692743764172336,0.34744489214669855,0.5833333333333334,0.03723404255319149,188
