chief_complaint,feature,correlation
cc_abdominalpain,age,-0.1082
cc_abdominalpain,triage_vital_hr,0.0154
cc_abdominalpain,triage_vital_rr,-0.0008
cc_abdominalpain,triage_vital_o2,0.0752
cc_abdominalpain,triage_glucose,-0.0207
cc_abdominalpain,esi,-0.0238
cc_chestpain,age,0.0069
cc_chestpain,triage_vital_hr,-0.018
cc_chestpain,triage_vital_rr,0.0209
cc_chestpain,triage_vital_o2,0.0088
cc_chestpain,triage_glucose,0.0169
cc_chestpain,esi,-0.1643
cc_shortnessofbreath,age,0.0983
cc_shortnessofbreath,triage_vital_hr,0.0542
cc_shortnessofbreath,triage_vital_rr,0.2214
cc_shortnessofbreath,triage_vital_o2,-0.1608
cc_shortnessofbreath,triage_glucose,0.0136
cc_shortnessofbreath,esi,-0.1503
cc_alteredmentalstatus,age,0.1117
cc_alteredmentalstatus,triage_vital_hr,-0.0065
cc_alteredmentalstatus,triage_vital_rr,-0.0141
cc_alteredmentalstatus,triage_vital_o2,-0.0436
cc_alteredmentalstatus,triage_glucose,0.0167
cc_alteredmentalstatus,esi,-0.132
cc_suicidal,age,-0.0642
cc_suicidal,triage_vital_hr,0.0216
cc_suicidal,triage_vital_rr,-0.0249
cc_suicidal,triage_vital_o2,-0.0024
cc_suicidal,triage_glucose,-0.0176
cc_suicidal,esi,-0.1426
cc_fall>65,age,0.1701
cc_fall>65,triage_vital_hr,-0.0642
cc_fall>65,triage_vital_rr,-0.0209
cc_fall>65,triage_vital_o2,-0.0424
cc_fall>65,triage_glucose,0.0049
cc_fall>65,esi,-0.0208
cc_alcoholintoxication,age,-0.0331
cc_alcoholintoxication,triage_vital_hr,0.0461
cc_alcoholintoxication,triage_vital_rr,-0.0265
cc_alcoholintoxication,triage_vital_o2,-0.0484
cc_alcoholintoxication,triage_glucose,-0.0237
cc_alcoholintoxication,esi,-0.1421
cc_weakness,age,0.1018
cc_weakness,triage_vital_hr,-0.0217
cc_weakness,triage_vital_rr,-0.0164
cc_weakness,triage_vital_o2,-0.0269
cc_weakness,triage_glucose,0.0191
cc_weakness,esi,-0.0807
