,importance
cc_suture/stapleremoval,0.011679168492436989
cc_suicidal,0.012115898075921018
cc_rash,0.014221856884750347
cc_chestpain,0.017197859247603163
cc_abdominalpain,0.03451436470022948
triage_vital_o2,0.03801707919172787
triage_vital_rr,0.038692439292864436
triage_vital_o2_device,0.03871025111619998
triage_vital_temp,0.06485438808463036
cc_strokealert,0.06734096750428765
triage_glucose,0.0786414746105577
triage_vital_dbp,0.08379361887266357
triage_vital_hr,0.08418376595774581
age,0.09850547822437898
triage_vital_sbp,0.11329418084525689
