,importance
age,0.07442458744504103
triage_vital_sbp,0.06137921137591727
cc_strokealert,0.05737096460569933
cc_abdominalpain,0.05518426696517733
shock_index,0.052248774732065156
triage_vital_dbp,0.05211445698856063
spo2_rr_ratio,0.0501909527155246
pulse_pressure,0.04186033808314237
triage_vital_o2_device,0.04164844561090795
triage_glucose,0.040721280695506915
triage_vital_hr,0.039352721926574116
triage_vital_temp,0.03755459446463803
triage_vital_o2,0.03263909080075434
triage_vital_rr,0.026543609683936122
cc_chestpain,0.023799259256585093
cc_rash,0.023058040748110423
cc_suicidal,0.016084090923661743
cc_dentalpain,0.01582258560108084
cc_suture/stapleremoval,0.013453914839153985
cc_alcoholintoxication,0.013233163682119494
cc_medicationrefill,0.012636612715272798
respiratory_distress,0.011129014588481246
red_flag_tachypnea,0.010940259758626829
cc_shortnessofbreath,0.010821276243164011
cc_other,0.010487542887448593
cc_backpain,0.01030904623169727
cc_neurologicproblem,0.009799197516564152
red_flag_count,0.009244188961354646
cc_alteredmentalstatus,0.009070316717176702
cc_earpain,0.00792846665688983
cc_hypotension,0.007469049910622936
cc_psychiatricevaluation,0.007425478538371885
cc_kneepain,0.006727223970521548
cc_flankpain,0.006639698156343669
cc_emesis,0.0040762321433186356
cc_dizziness,0.0036834206942257747
red_flag_hyperglycaemia,0.003646780656486845
cc_headache-newonsetornewsymptoms,0.003639874828388445
cc_assaultvictim,0.003606371603214454
cc_fall,0.003349975930035642
cc_woundcheck,0.0032937357272945847
cc_sorethroat,0.0031388007412496157
cc_sicklecellpain,0.0030794568873406428
red_flag_hypoxia,0.0030250928018296457
cc_weakness,0.0029943529986386575
cc_motorvehiclecrash,0.0026810717712578264
cc_cough,0.002575529273444849
cc_blurredvision,0.0024433879784319414
cc_footpain,0.002372015887929589
cc_abscess,0.002255690736648474
cc_eyeproblem,0.002024674400688352
cc_fall>65,0.0018831165635173766
cc_medicalscreening,0.0018786794980019815
red_flag_hypothermia,0.0018778522612244773
cc_anklepain,0.0017637304365386785
cc_shoulderpain,0.0017544159739378167
cc_respiratorydistress,0.0015151420589401524
cc_woundre-evaluation,0.0015103865898436048
cc_gibleeding,0.001417590173368762
cc_syncope,0.0013869459918343836
cc_insectbite,0.0013134085427077165
cc_skinirritation,0.0012762854756151792
red_flag_bradycardia,0.001264991104348125
cc_abnormallab,0.0012192145896379176
cc_legpain,0.0011472095513172908
cc_skinproblem,0.001122874214000141
cc_legswelling,0.0011003688680208564
cc_trauma,0.001010800104011996
cc_drugproblem,0.0009692709648787594
cc_seizure-priorhxof,0.0009315613603252433
red_flag_fever,0.0009270969119870166
cc_medicalproblem,0.0008961236938645553
cc_unresponsive,0.0008860975828315473
cc_medicationproblem,0.0008781088986198109
cc_laceration,0.0008621146796692698
cc_lethargy,0.0008526713067749454
cc_dyspnea,0.0007749376460288078
cc_vaginalbleeding,0.0007686156803768085
cc_fever-9weeksto74years,0.0007483210513608902
cc_handpain,0.0007417259575198254
cc_feverimmunocompromised,0.0006949646210464279
cc_armpain,0.0006295724489103423
cc_headachere-evaluation,0.0006210173237233454
cc_neckpain,0.0006141705348836524
cc_fatigue,0.0005549356933473512
cc_alcoholproblem,0.0005427262849559421
cc_depression,0.000539894933493278
